CustomerID,Recency,Frequency,Monetary
13854,9,39,12253.96
14735,4,56,12240.16
13418,12,31,12233.60
15023,4,20,12170.68
15144,9,29,12160.31
17338,18,17,12142.57
15555,13,36,12112.35
14415,2,23,12091.60
17364,1,28,12070.42
14505,18,19,12001.84
17044,26,12,11962.30
13458,8,16,11959.27
16258,46,15,11942.52
16523,2,28,11916.33
13687,439,1,11880.84
18226,45,26,11878.88
12705,16,14,11762.10
14426,24,17,11727.94
13102,2,37,11696.92
13004,12,36,11650.85
13576,11,28,11551.74
15218,11,22,11516.57
12668,12,10,11444.68
13680,2,12,11435.67
14016,162,11,11403.41
17809,17,20,11337.39
14045,110,16,11313.03
15874,64,21,11284.76
12539,23,7,11214.75
18055,8,14,11195.57
12524,10,17,11126.11
14134,383,15,11123.35
13941,22,15,11122.30
12918,627,1,10953.50
16985,18,23,10923.16
14796,2,27,10889.64
18052,565,1,10877.18
12431,36,27,10857.97
16033,6,27,10836.13
15694,1,24,10810.81
18229,12,28,10803.71
16984,89,9,10754.80
16327,15,16,10731.34
16168,11,66,10636.47
13324,37,18,10513.47
15290,5,26,10496.28
16782,11,38,10438.41
14028,551,3,10396.50
15296,51,12,10342.83
14422,1,19,10271.52
15719,33,31,10223.06
17160,32,17,10209.16
15805,24,30,10189.23
13599,2,33,10167.63
15547,8,26,10154.39
14085,3,33,10104.97
12839,3,26,10071.73
12766,4,9,10068.28
13985,5,22,10020.86
16353,4,38,9999.46
14755,10,25,9972.55
16182,73,9,9971.65
18260,173,23,9962.11
14101,74,13,9961.93
16131,52,12,9957.42
17049,3,19,9947.48
14329,18,15,9927.22
17230,265,18,9924.95
16701,9,26,9916.73
12758,117,7,9903.24
18109,2,38,9893.96
13327,39,20,9879.48
12590,212,2,9864.26
14828,197,13,9839.46
12490,6,21,9823.64
13735,25,13,9813.22
14944,30,19,9784.67
17306,11,21,9782.35
13018,17,35,9763.16
13267,3,36,9758.26
13069,1,38,9683.13
12380,22,11,9676.30
17315,2,43,9650.60
14135,2,24,9643.92
17811,5,47,9609.80
17504,207,18,9565.12
14091,655,2,9530.08
14060,5,30,9519.08
13999,11,29,9502.26
13174,17,12,9494.84
15298,3,23,9459.37
14146,9,12,9450.30
15727,17,15,9445.51
14439,320,5,9443.04
16550,109,18,9435.13
17757,2,56,9422.45
13758,12,15,9416.98
15981,25,21,9362.77
15570,8,25,9311.04
12747,3,26,9276.54
13162,123,16,9275.49
15249,32,18,9266.00
14367,9,16,9261.52
13448,17,13,9240.87
14292,8,16,9226.25
13756,3,23,9207.50
15260,101,25,9188.23
16700,9,25,9167.71
17068,13,47,9161.08
16709,85,14,9087.46
15867,6,31,9063.95
15939,90,16,9060.39
17576,9,41,9056.81
12755,281,11,9030.66
16186,23,26,9026.11
15150,18,13,9001.08
13555,74,13,8999.19
16722,18,22,8989.08
15903,10,12,8939.84
12359,58,10,8935.94
13269,2,28,8891.70
14709,16,25,8886.33
17396,40,14,8807.10
13047,32,24,8795.16
15984,3,30,8759.32
16532,18,5,8756.64
18041,12,38,8752.38
12957,10,13,8706.97
13263,2,39,8704.69
15955,25,22,8658.36
15497,18,9,8657.39
13148,30,26,8621.81
16945,22,33,8548.16
15281,59,16,8543.57
15270,16,21,8524.86
15786,47,5,8514.82
12798,11,4,8510.93
13209,31,13,8509.51
13715,282,17,8483.29
14286,24,7,8479.76
18139,18,6,8438.34
14160,611,7,8421.47
14057,24,22,8408.84
13206,401,13,8377.32
17611,8,28,8371.98
14676,32,12,8356.79
12643,129,12,8350.42
12637,68,12,8340.31
15034,16,14,8313.40
15998,37,16,8308.34
17686,8,9,8296.81
14030,19,20,8262.29
12720,3,30,8260.67
14525,20,17,8240.64
17365,13,15,8224.98
13381,32,12,8224.37
14056,2,23,8214.65
14395,3,20,8208.01
13139,17,8,8202.98
13426,1,22,8167.38
15544,10,20,8162.43
16672,3,20,8134.94
13869,124,10,8111.57
17593,4,11,8095.80
17426,9,13,8077.77
16767,31,15,8073.80
16670,17,20,8030.15
16556,67,17,8012.58
15299,68,10,7991.54
12428,26,9,7956.46
14159,20,20,7938.01
16303,26,7,7928.27
12867,27,13,7913.29
14291,2,23,7904.10
17085,124,28,7891.41
13871,23,17,7885.85
12757,16,13,7857.10
15622,44,17,7852.61
14282,4,25,7849.66
15046,10,25,7812.39
17091,3,19,7811.10
16592,5,28,7807.91
15581,121,38,7794.59
17409,185,10,7793.51
17238,3,32,7783.10
14800,48,17,7774.32
17730,4,20,7773.80
17739,12,18,7730.59
13534,3,35,7720.90
14688,8,28,7713.57
13137,11,16,7712.70
17696,39,27,7679.59
14175,60,8,7678.88
13141,85,17,7668.58
15301,51,17,7603.44
14145,47,7,7600.05
13709,4,18,7591.75
13373,61,6,7587.19
12841,5,40,7540.68
15179,19,13,7491.92
12429,10,8,7485.91
13815,23,8,7475.74
16242,9,14,7474.40
17602,3,14,7451.13
17690,31,20,7448.10
16570,16,20,7434.31
14243,9,17,7431.05
13082,127,21,7335.75
16253,67,7,7310.15
17965,38,29,7240.98
16729,39,21,7239.92
14092,8,24,7229.45
17231,13,25,7197.04
16745,87,17,7194.30
12712,29,21,7193.66
13451,27,11,7190.92
15950,32,10,7180.71
14841,54,14,7163.00
13983,30,21,7108.45
15521,41,16,7106.69
17769,13,17,7103.08
14113,4,16,7092.61
16938,9,9,7043.18
13183,8,15,7036.18
17975,16,24,7028.83
13831,17,18,7023.58
12662,1,20,6988.02
16717,24,14,6986.23
13552,67,22,6978.92
15674,74,13,6948.23
16265,10,12,6935.17
16187,32,15,6911.44
13520,59,11,6909.40
12749,4,9,6897.36
18231,193,28,6880.97
16170,51,20,6869.00
16456,100,13,6862.91
15129,51,23,6860.18
16401,2,23,6849.15
12613,58,10,6835.07
12417,4,20,6816.91
12830,38,6,6814.64
16145,9,19,6805.44
15413,692,5,6798.72
15750,3,18,6797.19
14401,5,22,6795.90
13993,43,19,6775.71
14702,2,29,6754.22
18118,11,29,6733.22
14562,4,26,6729.40
17838,27,13,6722.90
12779,38,14,6722.27
14461,149,13,6713.50
15321,71,12,6709.73
14844,64,10,6702.43
13734,509,4,6701.64
14388,11,16,6701.00
12913,5,13,6700.86
16497,50,23,6695.28
13384,31,11,6680.83
17700,17,14,6679.97
17001,1,19,6640.80
13953,8,12,6640.68
14440,9,13,6638.73
13394,2,19,6621.70
12626,24,9,6620.48
17819,72,12,6612.52
15514,13,18,6598.55
15980,89,7,6593.68
12843,66,30,6588.41
13015,54,11,6586.42
12836,60,15,6585.62
13883,11,15,6560.02
14766,9,11,6556.13
15332,367,6,6553.74
16655,18,13,6548.37
14855,120,7,6520.30
14221,43,17,6517.49
17873,81,18,6515.88
12823,75,18,6501.50
17419,12,18,6500.52
18061,22,28,6488.97
13317,67,19,6486.09
14154,240,8,6460.70
16940,53,8,6427.66
15673,89,9,6414.79
12656,18,8,6407.83
14390,11,13,6399.83
18094,82,13,6391.52
12406,23,5,6390.36
12356,23,6,6373.68
12484,33,12,6370.15
14227,27,15,6368.71
13230,5,30,6360.78
13590,12,18,6349.59
16710,20,22,6349.09
17799,23,20,6341.89
18245,8,20,6324.98
14180,11,33,6319.25
13654,44,11,6308.00
15480,117,5,6279.00
13136,57,13,6274.56
13615,319,8,6272.53
14534,3,26,6271.11
16735,79,14,6270.56
13334,83,5,6263.75
14004,44,11,6258.45
15369,493,11,6251.26
12497,82,3,6248.50
16156,9,20,6218.18
14530,26,16,6197.40
16103,8,22,6191.71
14907,4,16,6165.79
14852,59,18,6147.18
17669,43,10,6142.35
13266,12,19,6135.04
13935,597,3,6116.92
17509,58,8,6115.14
14560,8,44,6114.03
18178,129,11,6103.74
16954,1,20,6081.88
12664,9,11,6070.04
17625,19,8,6067.80
12835,428,41,6043.31
14535,61,9,6030.73
17644,2,20,6028.60
13658,10,9,6025.50
15372,138,8,6017.06
15202,421,3,6001.49
15755,11,17,5993.12
14105,240,5,5988.83
17457,127,14,5984.81
17491,2,17,5981.07
15785,33,16,5969.93
14918,116,9,5955.81
12500,24,19,5955.21
14257,65,9,5954.45
17685,17,12,5943.17
15971,18,18,5902.83
16011,9,29,5880.46
12455,74,10,5879.95
18065,6,29,5866.63
14210,106,16,5861.52
17146,106,13,5860.24
14112,23,13,5834.59
14189,3,16,5814.39
13769,3,20,5800.42
12910,24,13,5796.52
17069,29,14,5794.28
18075,24,20,5783.29
17672,51,7,5778.63
15485,31,7,5771.51
14099,17,20,5765.71
17863,60,12,5745.20
16316,65,13,5744.91
12615,3,8,5740.98
13771,65,9,5728.82
16458,3,30,5715.34
13870,3,15,5712.08
16409,37,12,5709.04
16607,18,25,5706.87
16279,22,9,5705.08
17651,12,16,5703.52
13157,50,9,5687.36
12727,11,10,5679.53
12633,59,7,5678.16
13901,73,15,5676.34
15628,5,17,5652.26
16200,5,12,5643.45
13722,132,10,5635.41
12347,3,8,5633.32
13842,59,18,5629.91
16320,173,6,5628.99
14249,411,12,5625.46
18145,13,11,5617.79
14572,4,11,5615.18
16003,30,10,5613.83
16546,291,5,5606.47
17059,30,9,5602.53
15898,2,25,5596.31
17092,51,11,5594.96
15854,5,21,5583.81
15228,67,6,5580.27
17203,36,10,5575.88
15527,19,23,5575.64
16393,3,23,5561.66
13593,109,14,5523.69
14732,9,19,5517.07
17204,176,9,5504.69
13115,12,10,5494.70
16609,16,7,5493.46
16992,11,13,5476.50
17512,29,18,5467.82
12480,29,7,5464.85
18198,5,17,5425.56
14713,10,21,5418.87
12378,130,2,5416.32
14626,24,11,5410.92
17719,38,15,5396.04
17612,54,18,5394.86
13362,10,7,5394.07
16008,24,15,5384.13
13014,11,11,5381.08
14459,156,2,5375.74
13495,8,10,5374.26
14081,303,10,5370.10
14442,205,7,5367.02
13975,32,12,5358.84
12362,4,11,5356.23
17567,8,9,5356.03
15641,106,12,5345.55
17346,4,26,5323.00
12708,30,18,5314.10
17584,8,6,5309.42
15394,10,11,5286.80
15152,10,14,5263.83
15722,36,11,5258.10
13931,96,11,5257.38
13107,45,9,5253.07
14930,109,6,5246.63
16931,6,23,5233.62
17061,74,11,5232.23
12422,96,17,5231.80
15606,62,17,5230.99
13763,64,3,5217.44
17084,36,3,5202.97
15812,108,12,5201.47
14546,6,11,5197.90
17213,41,13,5182.30
12510,143,9,5178.02
15443,2,14,5175.93
15796,2,17,5175.83
17663,26,17,5175.83
12625,212,4,5164.88
17157,8,19,5151.90
16153,50,11,5133.49
16904,5,21,5132.37
14493,8,10,5130.15
17861,4,18,5127.69
16919,157,24,5125.91
12483,18,19,5120.58
16308,38,7,5120.00
13329,32,8,5112.97
15529,23,12,5111.95
17519,18,15,5109.47
13523,34,6,5101.52
17402,5,23,5096.18
12594,38,15,5090.11
15367,58,11,5081.33
13634,34,16,5073.47
14307,89,10,5071.03
16686,48,16,5070.92
12395,20,15,5067.27
12432,43,5,5059.32
18144,8,19,5058.00
17802,83,10,5053.12
17469,17,17,5051.25
12600,29,21,5043.92
16905,6,17,5034.15
12759,53,8,5020.74
17758,20,12,5012.53
12444,22,5,5005.46
14209,11,15,4993.27
14639,53,9,4978.96
13198,11,8,4974.23
12562,9,9,4966.92
17449,3,13,4951.15
12700,8,4,4939.99
14825,4,24,4925.08
17596,24,13,4920.67
14970,69,12,4919.35
16143,4,12,4910.83
16255,17,15,4906.80
17406,334,13,4905.05
17314,25,17,4904.43
13659,206,12,4894.88
16986,30,11,4888.75
13021,5,17,4887.24
15379,170,8,4877.84
14107,52,11,4877.30
12688,114,1,4873.81
17652,26,12,4867.72
13044,292,11,4853.90
14032,3,16,4850.27
13562,82,8,4838.18
17191,29,15,4836.05
12449,23,6,4835.89
16326,6,24,4826.99
14191,2,15,4817.66
15002,116,9,4817.28
13875,54,14,4814.37
13124,90,4,4782.45
15187,2,16,4777.18
13988,20,8,4757.80
12955,2,11,4757.16
17829,299,5,4756.74
17082,34,6,4732.03
14235,76,9,4717.99
15271,8,24,4709.54
13958,380,8,4709.23
12589,29,8,4695.66
17050,97,11,4691.79
15410,85,10,4685.72
13527,34,12,4683.74
17400,127,8,4677.05
16858,369,10,4668.28
13971,19,14,4667.57
18097,8,11,4663.32
16293,22,15,4657.95
15123,8,5,4656.17
15484,2,6,4656.00
12916,139,7,4654.02
14466,30,13,4646.90
12578,22,4,4642.45
17442,37,15,4620.30
14685,577,8,4619.79
12782,5,11,4618.24
14441,1,11,4611.69
15245,135,8,4610.84
12553,9,12,4608.75
13851,96,8,4606.46
18257,40,12,4600.15
14514,62,9,4598.98
17188,12,13,4592.93
16125,368,14,4587.65
17508,281,8,4579.23
17754,1,13,4577.53
15416,65,7,4572.82
13491,52,27,4566.56
14701,11,15,4562.09
17613,23,14,4559.15
13510,2,11,4558.29
15365,26,13,4557.13
14648,417,15,4546.86
13571,13,26,4546.54
18069,27,11,4540.56
12598,10,11,4534.09
14001,46,9,4530.09
14290,12,8,4516.56
17308,394,2,4511.76
15680,10,10,4507.58
15764,89,8,4503.08
14625,197,11,4497.88
15122,115,11,4497.47
18064,134,11,4495.03
17220,25,21,4481.75
16912,29,15,4480.31
12627,11,7,4478.53
13435,6,9,4475.23
14341,46,18,4467.32
16081,57,8,4460.18
15240,45,12,4459.98
17682,11,11,4456.78
18093,94,8,4452.71
16098,88,14,4448.10
13982,40,9,4445.59
16218,30,13,4439.97
17722,97,5,4430.36
12349,19,4,4428.69
15845,18,11,4426.28
16563,54,6,4422.76
17412,3,16,4417.52
17138,276,7,4417.27
16626,1,17,4413.10
16283,6,8,4403.82
14211,54,18,4402.29
15861,13,12,4401.79
15203,26,15,4400.18
16150,43,10,4395.59
13505,73,4,4393.63
13880,22,17,4391.66
16732,32,4,4387.64
16749,592,2,4387.08
18272,3,9,4385.98
16455,64,11,4384.37
15708,41,9,4378.72
17372,41,28,4377.56
16118,653,1,4376.25
12523,20,23,4372.15
13297,8,7,4368.62
12752,82,1,4366.78
12917,129,6,4359.20
14482,19,12,4357.91
15633,510,13,4352.46
12408,33,8,4340.77
18077,9,18,4338.56
16241,10,16,4329.31
16072,289,4,4328.89
14854,79,11,4322.86
12370,52,7,4320.31
16477,64,11,4320.02
14334,17,12,4318.48
18259,25,7,4318.20
15493,33,9,4314.98
12967,359,3,4306.92
12928,36,12,4304.89
17937,9,7,4301.22
18230,10,9,4291.06
17930,36,13,4275.22
16712,10,13,4266.99
14239,44,21,4263.17
14047,9,14,4255.03
16743,30,14,4253.26
12360,53,8,4252.89
16571,27,10,4248.74
12935,3,15,4243.86
18079,46,5,4242.75
17728,4,5,4238.76
13911,58,20,4234.99
16875,68,11,4234.53
17673,2,13,4233.58
15518,65,15,4218.94
15752,40,9,4207.54
15804,1,13,4206.39
15050,26,5,4193.79
17218,5,18,4192.68
14868,4,12,4184.01
17738,20,13,4183.56
18287,43,7,4182.99
17526,5,12,4166.04
18194,83,6,4162.04
14740,198,11,4161.06
12653,149,3,4160.83
13461,39,6,4160.00
17646,220,12,4149.79
16209,89,9,4146.78
12569,3,32,4124.69
13450,27,13,4120.04
16928,81,29,4113.23
17287,27,21,4111.96
14408,11,11,4109.77
14878,13,25,4105.24
13421,41,8,4103.12
14566,111,4,4092.00
13048,15,9,4084.21
12876,58,4,4081.79
15024,10,16,4075.51
17618,6,11,4073.24
14913,36,8,4073.13
15572,5,10,4068.67
12371,45,5,4067.38
14025,465,8,4057.90
15571,12,14,4051.63
17083,110,9,4049.79
17211,27,13,4046.65
12840,144,7,4041.97
16791,30,15,4038.69
14824,11,10,4022.91
15665,169,5,4015.12
12726,29,11,4014.60
15782,10,4,4014.10
12721,32,8,4013.08
17019,12,11,4012.20
13895,29,6,4008.52
14547,4,8,4007.54
13542,377,17,4006.17
16841,37,12,4006.06
17307,396,11,3999.89
13126,5,13,3998.25
16719,15,14,3973.30
16771,34,10,3967.60
17954,6,19,3966.05
15858,16,13,3960.37
14817,201,7,3959.86
15983,23,8,3958.82
17667,67,9,3950.70
14465,247,11,3946.03
12473,30,5,3938.55
15051,24,9,3935.16
15819,50,10,3934.79
13037,139,12,3914.95
14498,43,10,3911.27
12853,135,11,3907.50
15696,34,13,3906.57
13995,16,14,3902.01
12388,16,8,3901.11
15823,373,3,3897.17
15811,23,7,3890.52
12358,2,5,3887.07
14744,17,14,3885.08
15288,44,10,3883.13
13446,431,11,3881.89
14655,9,7,3878.51
15067,79,5,3877.88
18073,115,12,3877.52
15195,3,1,3861.00
14565,96,5,3859.22
14532,237,11,3859.18
16440,8,6,3856.97
16057,17,10,3854.85
13213,57,11,3851.52
16341,25,7,3850.79
16466,34,15,3838.59
13357,258,5,3838.36
17659,18,14,3834.79
13481,46,11,3830.84
15704,141,6,3817.96
12597,20,4,3811.22
15421,59,10,3805.34
16636,439,4,3802.04
17071,29,13,3801.20
16128,18,11,3801.05
14540,10,11,3795.34
15827,74,28,3794.07
16950,57,10,3784.37
12619,17,10,3781.38
14309,9,11,3780.81
15494,22,5,3780.05
14649,5,9,3775.31
17293,9,17,3774.23
15834,71,7,3772.99
15532,26,10,3771.90
18168,177,16,3770.27
15079,213,11,3767.35
17173,6,8,3766.60
12670,11,7,3760.29
12530,60,9,3759.26
17096,16,11,3759.18
17553,130,4,3757.60
14409,72,9,3756.09
13305,5,16,3754.71
14515,18,12,3749.26
12623,277,7,3747.84
15370,41,8,3739.01
15351,13,10,3738.29
16539,3,10,3732.01
15255,67,9,3729.42
12502,96,5,3723.87
16772,424,3,3723.55
16240,25,2,3718.80
14364,109,8,3717.35
14593,22,12,3712.01
12737,499,2,3710.50
16983,13,11,3710.22
14776,52,15,3708.30
16094,12,11,3695.56
12857,211,6,3688.00
12872,327,12,3685.49
12468,188,5,3670.74
15953,16,18,3669.55
14640,25,10,3667.06
16444,47,17,3656.58
17655,11,9,3652.48
14857,60,7,3651.85
17848,82,30,3650.90
13632,25,8,3648.15
16718,370,5,3647.53
17063,22,13,3638.53
14770,233,8,3637.64
16748,18,14,3637.33
16053,33,6,3634.84
17528,2,8,3628.50
14882,27,14,3628.15
14653,2,12,3614.54
16503,107,11,3614.34
15505,53,5,3610.96
15113,10,3,3609.33
15791,44,5,3608.34
18242,73,8,3605.21
13750,54,11,3602.18
12963,9,12,3601.59
16325,47,12,3597.50
17422,17,11,3594.76
15569,104,10,3586.35
14132,3,11,3586.03
17679,53,7,3577.61
17311,79,6,3566.56
18219,3,17,3562.89
14737,4,4,3554.17
15222,319,11,3550.91
14503,4,6,3543.26
12645,34,8,3539.30
16395,61,14,3537.85
17924,12,8,3536.70
15059,41,19,3523.57
16336,421,4,3517.69
16360,5,6,3512.53
17768,9,7,3509.51
16347,12,11,3509.41
14898,24,14,3507.81
18044,5,18,3505.61
14934,82,5,3503.50
13929,170,11,3494.10
13577,26,11,3489.28
15306,65,9,3484.73
17597,214,5,3484.09
12631,58,6,3481.57
17913,59,14,3479.64
15380,9,11,3479.06
15712,10,12,3472.41
13849,52,5,3469.30
14533,25,11,3466.37
15356,32,13,3464.95
16271,3,10,3463.02
14837,90,9,3460.32
13536,2,7,3448.29
13313,23,12,3445.32
15974,40,7,3442.15
16208,45,10,3440.45
17725,17,11,3439.08
17931,135,14,3437.29
12609,79,9,3435.86
15676,19,3,3435.76
16045,120,8,3434.93
15916,17,13,3427.17
12377,316,4,3426.32
16281,73,3,3424.02
17876,400,3,3424.02
15373,9,17,3421.39
13031,408,5,3419.27
14217,2,23,3416.89
14215,12,9,3416.33
13979,74,7,3416.23
14673,4,7,3410.81
15058,26,16,3410.03
13437,15,7,3408.06
13425,109,5,3403.63
13823,19,7,3403.45
15114,31,12,3400.12
12838,34,10,3398.48
16067,563,3,3395.29
13246,19,11,3387.43
17723,128,7,3378.40
13135,197,2,3371.45
13707,268,5,3365.86
13285,24,6,3364.59
13786,368,6,3358.94
15538,538,6,3358.40
14608,5,11,3352.94
16818,11,11,3349.57
17183,8,6,3347.31
15265,152,4,3345.64
12424,163,4,3340.03
13848,93,8,3335.00
14344,128,20,3333.70
14064,30,15,3332.42
16351,333,13,3330.03
17774,97,9,3328.05
15065,38,5,3326.86
12865,27,4,3323.47
13291,156,11,3320.84
13611,90,10,3319.53
14161,216,7,3318.88
13431,68,8,3316.24
13824,33,12,3314.76
13131,24,7,3313.77
14451,61,12,3308.77
16365,18,15,3307.20
14506,18,7,3290.67
13650,17,10,3288.00
15632,16,8,3285.31
14507,24,11,3284.43
14285,22,8,3284.42
18188,16,6,3280.59
15978,78,3,3279.42
14293,4,9,3267.93
13214,418,7,3264.23
15057,276,5,3255.96
12770,211,2,3246.45
16612,33,9,3245.43
14669,242,7,3243.93
15140,53,8,3243.69
17353,130,4,3242.00
15625,104,9,3236.40
15602,9,16,3230.51
16101,71,4,3229.16
16059,66,12,3217.77
16515,53,10,3216.30
13268,18,11,3214.69
12951,9,15,3213.72
16918,50,16,3213.29
13804,31,9,3208.52
16107,18,7,3204.16
17147,23,9,3199.95
14315,45,8,3197.82
15027,31,10,3195.60
13868,8,2,3192.54
13397,73,10,3191.87
16933,2,9,3181.25
12456,45,3,3181.04
17228,16,13,3177.24
15353,255,7,3175.95
17621,22,6,3175.12
16837,32,11,3170.98
17640,87,6,3168.94
13052,213,7,3168.53
16041,31,3,3166.40
14963,10,12,3164.48
16584,81,5,3163.67
16400,95,9,3159.44
15031,5,14,3156.58
12976,212,8,3156.38
14748,30,10,3152.32
14306,52,6,3151.40
17090,5,13,3149.48
15614,438,4,3147.36
17702,31,6,3144.04
17354,51,4,3143.46
14978,73,10,3142.14
15095,104,10,3141.64
17530,2,12,3141.51
14897,8,8,3140.54
13742,17,12,3131.02
15596,101,9,3130.04
14044,27,10,3123.10
15199,60,10,3122.40
17145,513,4,3120.91
13685,3,7,3119.44
14700,33,5,3116.26
13692,25,5,3114.40
13772,34,8,3114.22
13538,44,12,3112.73
16678,3,12,3109.99
17870,3,13,3108.15
12909,40,8,3103.19
15491,96,6,3100.09
13464,59,6,3097.64
12937,16,9,3097.61
15105,19,9,3094.91
12849,32,6,3090.56
14312,47,11,3090.29
17552,61,12,3085.29
12511,429,1,3084.02
17929,12,12,3082.10
16007,48,7,3075.14
17884,4,20,3072.89
13647,10,8,3071.68
12469,523,2,3070.54
13631,100,11,3070.42
14038,79,5,3069.88
13196,12,7,3068.84
13077,2,11,3064.67
14456,6,9,3062.40
16120,60,6,3056.91
16775,11,16,3056.89
15716,146,11,3056.81
15241,67,11,3050.16
16560,27,8,3048.38
14916,71,8,3042.95
15967,24,12,3041.60
15754,52,9,3037.61
13557,29,13,3032.26
13485,234,11,3019.22
15965,18,13,3013.09
13963,309,17,3011.87
12754,236,3,3010.74
14590,425,20,3006.62
17032,548,8,3004.60
14226,29,6,3002.53
14621,2,9,3000.57
13635,68,4,2999.16
15810,79,8,2999.04
15182,155,11,2998.95
15611,10,26,2997.28
12457,67,8,2995.91
